Unnamed: 0,db_path,generated_sql,gold_sql,question,isCorrect,response
11,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1,Return the name of the player who earns the most money.,True,SELECT Name FROM player ORDER BY Earnings DESC LIMIT 1
12,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000,What are the distinct countries of players with earnings higher than 1200000?,True,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
13,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Country FROM player WHERE Earnings  >  1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000,From which countries are players who make more than 1200000 from?,True,SELECT Country FROM player WHERE Earnings  >  1200000
14,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Country,SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1,What is the country of the player with the highest earnings among players that have more than 2 win counts?,False,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Wins_count  >  2 ORDER BY T1.Earnings DESC LIMIT 1
15,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Country,SELECT Country FROM player WHERE Wins_count  >  2 ORDER BY Earnings DESC LIMIT 1,"Of players who have more than 2 wins, what is the country of the player who makes the most?",False,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.club_id  =  T2.club_id WHERE T1.wins_count  >  2 ORDER BY T1.wins_count DESC LIMIT 1
16,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT T1.Name,  T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID",Show names of players and names of clubs they are in.,True,"SELECT T1.Name,  T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID"
17,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT T1.Name,  T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID","SELECT T2.Name ,  T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID",What are the names of players and the corresponding clubs that they are in?,True,"SELECT T1.Name,  T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID"
18,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID HAVING count(*)  >  2,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2,Show names of clubs that have players with more than 2 win counts.,False,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID HAVING count(*)  >  2
19,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID HAVING count(*)  >  2,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Wins_count  >  2,What are the names of clubs that have players who have won more than twice?,False,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID HAVING count(*)  >  2
20,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce""","Show names of players from the club with manager ""Sam Allardyce"".",True,"SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
21,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce""","SELECT T2.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce""",What are the names of players from the club managed by Sam Allardyce?,False,"SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T1.Manager  =  ""Sam Allardyce"""
22,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY avg(T1.Earnings) DESC,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY avg(T2.Earnings) DESC,Show names of clubs in descending order of average earnings of players belonging.,True,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY avg(T1.Earnings) DESC
23,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY AVG(T1.Earnings) DESC,SELECT T1.Name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY avg(T2.Earnings) DESC,"What are the names of clubs, ordered descending by the average earnings of players within each?",True,SELECT T2.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID  =  T2.Club_ID GROUP BY T1.Club_ID ORDER BY AVG(T1.Earnings) DESC
24,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Manufacturer,  COUNT(*) FROM club GROUP BY Manufacturer","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer",Show different manufacturers and the number of clubs they are associated with.,True,"SELECT Manufacturer,  COUNT(*) FROM club GROUP BY Manufacturer"
25,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Manufacturer,  COUNT(*) FROM club GROUP BY Manufacturer","SELECT Manufacturer ,  COUNT(*) FROM club GROUP BY Manufacturer",How many clubs use each manufacturer?,True,"SELECT Manufacturer,  COUNT(*) FROM club GROUP BY Manufacturer"
26,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1,Please show the most common manufacturer of clubs.,True,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1
27,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1,Which manufacturer is most common among clubs?,True,SELECT Manufacturer FROM club GROUP BY Manufacturer ORDER BY COUNT(*) DESC LIMIT 1
28,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1,List the manufacturers that are associated with more than one club.,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
29,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*)  >  1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1,Which manufacturers work for more than 1 club?,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*)  >  1
30,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1,List the country that have more than one player.,True,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
31,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1,Which countries have produced more than one player?,True,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
32,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player),List the name of clubs that do not have players.,True,SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)
33,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Name FROM club WHERE Club_ID NOT IN ( SELECT Club_ID FROM player ),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player),What are the names of clubs that do not have any players?,True,SELECT Name FROM club WHERE Club_ID NOT IN ( SELECT Club_ID FROM player )
34,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Country FROM player WHERE Earnings  >  1400000 UNION SELECT Country FROM player WHERE Earnings  <  1100000,SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000,Show the country of players with earnings more than 1400000 and players with earnings less than 1100000.,False,SELECT Country FROM player WHERE Earnings  >  1400000 UNION SELECT Country FROM player WHERE Earnings  <  1100000
35,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000,SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000,Which country has produced both players with earnings over 1400000 and players with earnings below 1100000?,True,SELECT Country FROM player WHERE Earnings  >  1400000 INTERSECT SELECT Country FROM player WHERE Earnings  <  1100000
36,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT count(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player,What is the number of distinct countries of all players?,True,SELECT count(DISTINCT Country) FROM player
37,spider_data/test_database/soccer_3/soccer_3.sqlite,SELECT count(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player,How many different countries are players from?,True,SELECT count(DISTINCT Country) FROM player
38,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""","Show the earnings of players from country ""Australia"" or ""Zimbabwe"".",True,"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
39,spider_data/test_database/soccer_3/soccer_3.sqlite,"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""","SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""",What are the earnings of players from either of the countries of Australia or Zimbabwe?,True,"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""
40,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.customer_id,  T1.customer_first_name,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >=  3","SELECT T1.customer_id ,  T1.customer_first_name ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >  2 INTERSECT SELECT T1.customer_id ,  T1.customer_first_name ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id JOIN Order_items AS T3 ON T2.order_id  =  T3.order_id GROUP BY T1.customer_id HAVING count(*)  >= 3","List the id, first name and last name of the customers who both have placed more than 2 orders and have bought at least 3 items.",False,"SELECT T1.customer_id,  T1.customer_first_name,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >=  3"
41,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.customer_id,  T1.customer_first_name,  T1.customer_last_name  FROM Customers AS T1  JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id  GROUP BY T1.customer_id  HAVING count(*)  >  2","SELECT T1.customer_id ,  T1.customer_first_name ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >  2 INTERSECT SELECT T1.customer_id ,  T1.customer_first_name ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id JOIN Order_items AS T3 ON T2.order_id  =  T3.order_id GROUP BY T1.customer_id HAVING count(*)  >= 3","What are the ids, first and last names of the customers who have ordered more than twice and have bought at least 3 items?",False,"SELECT T1.customer_id,  T1.customer_first_name,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id HAVING count(*)  >  2"
42,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.order_id,  T1.order_status_code,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id","For the orders with any produts, how many products does each orders contain ? List the order id, status and the number.",True,"SELECT T1.order_id,  T1.order_status_code,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
43,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T2.order_status_code,  T2.order_id,  count(*)  FROM order_items AS T1  JOIN orders AS T2  ON T1.order_id  =  T2.order_id  GROUP BY T1.order_id","SELECT T1.order_id ,  T1.order_status_code ,  count(*) FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id","For every order, how many products does it contain, and what are the orders' statuses and ids?",False,"SELECT T2.order_status_code,  T2.order_id,  count(*) FROM order_items AS T1 JOIN orders AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id"
44,spider_data/test_database/e_commerce/e_commerce.sqlite,SELECT date_order_placed FROM orders WHERE order_id IN (SELECT order_id FROM order_items GROUP BY order_id HAVING count(*)  >  1),SELECT min(date_order_placed) FROM Orders UNION SELECT T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >  1,List the dates of the orders which were placed at the earliest time or have more than 1 items.,False,SELECT date_order_placed FROM orders WHERE order_id IN (SELECT order_id FROM order_items GROUP BY order_id HAVING count(*)  >  1)
45,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT min(date_order_placed),  count(*) FROM orders GROUP BY date_order_placed HAVING count(*)  >  1",SELECT min(date_order_placed) FROM Orders UNION SELECT T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >  1,What are the dates of the earliest order and the dates of all orders with more than 1 item?,False,"SELECT min(date_order_placed),  count(*) FROM orders GROUP BY date_order_placed HAVING count(*)  >  1"
46,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT customer_first_name,  customer_middle_initial,  customer_last_name FROM customers EXCEPT SELECT T1.customer_first_name,  T1.customer_middle_initial,  T1.customer_last_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id","SELECT customer_first_name ,  customer_middle_initial ,  customer_last_name FROM Customers EXCEPT SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id","Which customers did not make any orders? List the first name, middle initial and last name.",True,"SELECT customer_first_name,  customer_middle_initial,  customer_last_name FROM customers EXCEPT SELECT T1.customer_first_name,  T1.customer_middle_initial,  T1.customer_last_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id"
47,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT customer_first_name,  customer_middle_initial,  customer_last_name FROM customers EXCEPT SELECT T1.customer_first_name,  T1.customer_middle_initial,  T1.customer_last_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id","SELECT customer_first_name ,  customer_middle_initial ,  customer_last_name FROM Customers EXCEPT SELECT T1.customer_first_name ,  T1.customer_middle_initial ,  T1.customer_last_name FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id","WHat are the first and last names, and middle initials of all customers who did not make any orders?",True,"SELECT customer_first_name,  customer_middle_initial,  customer_last_name FROM customers EXCEPT SELECT T1.customer_first_name,  T1.customer_middle_initial,  T1.customer_last_name FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id"
48,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT product_id,  product_name,  product_price,  product_color FROM products EXCEPT SELECT T1.product_id,  T1.product_name,  T1.product_price,  T1.product_color FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id","SELECT product_id ,  product_name ,  product_price ,  product_color FROM Products EXCEPT SELECT T1.product_id ,  T1.product_name ,  T1.product_price ,  T1.product_color FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T2.order_id  =  T3.order_id GROUP BY T1.product_id HAVING count(*)  >=  2","What are the id, name, price and color of the products which have not been ordered for at least twice?",False,"SELECT product_id,  product_name,  product_price,  product_color FROM products EXCEPT SELECT T1.product_id,  T1.product_name,  T1.product_price,  T1.product_color FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id"
49,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT product_id,  product_name,  product_price,  product_color FROM products EXCEPT SELECT T1.product_id,  T1.product_name,  T1.product_price,  T1.product_color FROM products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >=  2","select t1.product_id ,  t1.product_name ,  t1.product_price ,  t1.product_color from products as t1 join order_items as t2 on t1.product_id  =  t2.product_id join orders as t3 on t2.order_id  =  t3.order_id group by t1.product_id having count(*) < 2","What are the ids , names , prices , and colors of all products that have been listed in less than two orders ?",True,"SELECT product_id,  product_name,  product_price,  product_color FROM products EXCEPT SELECT T1.product_id,  T1.product_name,  T1.product_price,  T1.product_color FROM products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id HAVING count(*)  >=  2"
50,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.order_id,  T1.date_order_placed FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2",Which orders have at least 2 products on it? List the order id and date.,True,"SELECT T1.order_id,  T1.date_order_placed FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
51,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.order_id,  T1.date_order_placed FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2","SELECT T1.order_id ,  T1.date_order_placed FROM Orders AS T1 JOIN Order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2",What are the ids and dates of the orders with at least two products?,True,"SELECT T1.order_id,  T1.date_order_placed FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id GROUP BY T1.order_id HAVING count(*)  >=  2"
52,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.product_id,  T1.product_name,  T1.product_price FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.product_id ,  T1.product_name ,  T1.product_price FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1","Which product are listed in orders most frequently? List the id, product name and price.",True,"SELECT T1.product_id,  T1.product_name,  T1.product_price FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1"
53,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.product_id,  T1.product_name,  T1.product_price FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.product_id ,  T1.product_name ,  T1.product_price FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1","What are the ids, names, and prices of all products that are ordered most frequently?",True,"SELECT T1.product_id,  T1.product_name,  T1.product_price FROM products AS T1 JOIN order_items AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.product_id ORDER BY count(*) DESC LIMIT 1"
54,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.order_id,  sum(T2.product_price) FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id GROUP BY T1.order_id ORDER BY sum(T2.product_price) ASC LIMIT 1","SELECT T1.order_id ,  sum(T2.product_price) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id GROUP BY T1.order_id ORDER BY sum(T2.product_price) ASC LIMIT 1",Which order have the least sum of the product prices. List the order id and sum.,False,"SELECT T1.order_id,  sum(T2.product_price) FROM orders AS T1 JOIN order_items AS T2 ON T1.order_id = T2.order_id GROUP BY T1.order_id ORDER BY sum(T2.product_price) ASC LIMIT 1"
55,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT T1.order_id, T2.total_cost FROM shipments AS T1 JOIN orders AS T2 ON T1.order_id  =  T2.order_id ORDER BY T2.total_cost LIMIT 1","select t1.order_id ,  sum(t2.product_price) from order_items as t1 join products as t2 on t1.product_id  =  t2.product_id group by t1.order_id order by sum(t2.product_price) asc limit 1","What is the order that total cost the least , and how much is the total cost ?",False,"SELECT T1.order_id,  T2.total_cost FROM shipments AS T1 JOIN orders AS T2 ON T1.order_id  =  T2.order_id ORDER BY T2.total_cost LIMIT 1"
56,spider_data/test_database/e_commerce/e_commerce.sqlite,SELECT payment_method_code FROM Customer_Payment_Methods GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1,SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1,What is the most popular payment method?,True,SELECT payment_method_code FROM Customer_Payment_Methods GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
57,spider_data/test_database/e_commerce/e_commerce.sqlite,SELECT payment_method_code FROM Customer_Payment_Methods GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1,SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1,What is the payment method that most customers use?,True,SELECT payment_method_code FROM Customer_Payment_Methods GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
58,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT gender_code,  count(*) FROM customers AS t1 JOIN orders AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.gender_code","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id JOIN Order_items AS T3 ON T2.order_id  =  T3.order_id GROUP BY T1.gender_code",How many number of products does each gender of customers buy? List the gender and the number,False,"SELECT gender_code,  count(*) FROM customers AS t1 JOIN orders AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.gender_code"
59,spider_data/test_database/e_commerce/e_commerce.sqlite,"SELECT count(*),  T1.gender_code FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code","SELECT T1.gender_code ,  count(*) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id  =  T2.customer_id JOIN Order_items AS T3 ON T2.order_id  =  T3.order_id GROUP BY T1.gender_code",How many products does each gender buy?,False,"SELECT count(*),  T1.gender_code FROM customers AS T1 JOIN orders AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.gender_code"
